,ds,y
0,2016-01-01,1
1,2016-01-02,2
2,2016-01-03,6
3,2016-01-04,1997
4,2016-01-05,2412
5,2016-01-06,2394
6,2016-01-07,2479
7,2016-01-08,2674
8,2016-01-09,5
9,2016-01-10,2
10,2016-01-11,2746
11,2016-01-12,2790
12,2016-01-13,2777
13,2016-01-14,2809
14,2016-01-15,2864
15,2016-01-16,12
16,2016-01-17,4
17,2016-01-18,2087
18,2016-01-19,2609
19,2016-01-20,3867
20,2016-01-21,3227
21,2016-01-22,3193
22,2016-01-23,8
23,2016-01-24,7
24,2016-01-25,3052
25,2016-01-26,3079
26,2016-01-27,3201
27,2016-01-28,3134
28,2016-01-29,3108
29,2016-01-30,7
30,2016-01-31,7
31,2016-02-01,3318
32,2016-02-02,2928
33,2016-02-03,2909
34,2016-02-04,2613
35,2016-02-05,2301
36,2016-02-06,1146
37,2016-02-07,1
360,2016-02-08,0
361,2016-02-09,0
362,2016-02-10,0
363,2016-02-11,0
38,2016-02-12,2
364,2016-02-13,0
39,2016-02-14,4574
40,2016-02-15,195
41,2016-02-16,1808
42,2016-02-17,2745
43,2016-02-18,2175
44,2016-02-19,2407
45,2016-02-20,4
365,2016-02-21,0
46,2016-02-22,2377
47,2016-02-23,2418
48,2016-02-24,2444
49,2016-02-25,2478
50,2016-02-26,2663
51,2016-02-27,16
52,2016-02-28,3
53,2016-02-29,2698
54,2016-03-01,2606
55,2016-03-02,2741
56,2016-03-03,2659
57,2016-03-04,2792
58,2016-03-05,8
59,2016-03-06,2
60,2016-03-07,2580
61,2016-03-08,2573
62,2016-03-09,2456
63,2016-03-10,2558
64,2016-03-11,2653
65,2016-03-12,5
66,2016-03-13,6
67,2016-03-14,2630
68,2016-03-15,2667
69,2016-03-16,2635
70,2016-03-17,2742
71,2016-03-18,2752
72,2016-03-19,5
73,2016-03-20,6
74,2016-03-21,2751
75,2016-03-22,2711
76,2016-03-23,2741
77,2016-03-24,2816
78,2016-03-25,2159
79,2016-03-26,1
80,2016-03-27,6
81,2016-03-28,1599
82,2016-03-29,2612
83,2016-03-30,2944
84,2016-03-31,2975
85,2016-04-01,3111
86,2016-04-02,7
87,2016-04-03,2
88,2016-04-04,9
89,2016-04-05,4785
90,2016-04-06,2780
91,2016-04-07,2726
92,2016-04-08,2934
93,2016-04-09,4
94,2016-04-10,6
95,2016-04-11,2903
96,2016-04-12,3166
97,2016-04-13,2949
98,2016-04-14,2863
99,2016-04-15,2765
100,2016-04-16,4
101,2016-04-17,2
102,2016-04-18,2882
103,2016-04-19,2889
104,2016-04-20,2915
105,2016-04-21,2967
106,2016-04-22,2948
