,ds,y
0,2016-01-01,3581520
1,2016-01-02,1305365
2,2016-01-03,4165927
3,2016-01-04,492757815
4,2016-01-05,248955821
5,2016-01-06,565616305
6,2016-01-07,467614294
7,2016-01-08,271438258
8,2016-01-09,4915390
9,2016-01-10,7926193
10,2016-01-11,166101935
11,2016-01-12,962962584
12,2016-01-13,183204629
13,2016-01-14,202312607
14,2016-01-15,259568039
15,2016-01-16,10234395
16,2016-01-17,3131059
17,2016-01-18,166889003
18,2016-01-19,352693244
19,2016-01-20,819068851
20,2016-01-21,373372502
21,2016-01-22,528120931
22,2016-01-23,11562331
23,2016-01-24,6372972
24,2016-01-25,408185488
25,2016-01-26,296059535
26,2016-01-27,423150929
27,2016-01-28,243115239
28,2016-01-29,864513007
29,2016-01-30,9732587
30,2016-01-31,6959809
31,2016-02-01,756533348
32,2016-02-02,379927740
33,2016-02-03,283113405
34,2016-02-04,248603922
35,2016-02-05,336066258
36,2016-02-06,12395808
37,2016-02-07,1365808
38,2016-02-08,24087
39,2016-02-09,832688
40,2016-02-10,950611
41,2016-02-11,769509
42,2016-02-12,2096545
43,2016-02-13,1649137
44,2016-02-14,349447436
45,2016-02-15,210919491
46,2016-02-16,548131381
47,2016-02-17,435692451
48,2016-02-18,499643616
49,2016-02-19,879100897
50,2016-02-20,6115109
51,2016-02-21,4193893
52,2016-02-22,165046996
53,2016-02-23,213351494
54,2016-02-24,257826688
55,2016-02-25,217122628
56,2016-02-26,492089376
57,2016-02-27,4656690
58,2016-02-28,2905557
59,2016-02-29,178856059
60,2016-03-01,268112435
61,2016-03-02,281346192
62,2016-03-03,379865117
63,2016-03-04,434085053
64,2016-03-05,5708374
65,2016-03-06,3540108
66,2016-03-07,180065019
67,2016-03-08,1361727365
68,2016-03-09,222377825
69,2016-03-10,428544711
70,2016-03-11,213024862
71,2016-03-12,5329056
72,2016-03-13,5800398
73,2016-03-14,417787536
74,2016-03-15,193177243
75,2016-03-16,325308047
76,2016-03-17,304290992
77,2016-03-18,539582683
78,2016-03-19,3646446
79,2016-03-20,3243036
80,2016-03-21,316002128
81,2016-03-22,200578854
82,2016-03-23,510955066
83,2016-03-24,347335747
84,2016-03-25,133156985
85,2016-03-26,12484327
86,2016-03-27,6126825
87,2016-03-28,230452208
88,2016-03-29,251441605
89,2016-03-30,614550694
90,2016-03-31,345132544
91,2016-04-01,739298860
92,2016-04-02,3344807
93,2016-04-03,1815209
94,2016-04-04,7134655
95,2016-04-05,331666799
96,2016-04-06,213237882
97,2016-04-07,650441984
98,2016-04-08,286909883
99,2016-04-09,6967001
100,2016-04-10,4470404
101,2016-04-11,449809733
102,2016-04-12,289261454
103,2016-04-13,360645214
104,2016-04-14,276739418
105,2016-04-15,566647931
106,2016-04-16,3202067
